season,total_matches,total_runs,most_sixes,highest_score,title_winner
2008,58,17937,623,240,Rajasthan Royals
2009,57,16353,508,211,Deccan Chargers
2010,60,18883,587,246,Chennai Super Kings
2011,73,21154,639,232,Chennai Super Kings
2012,74,22453,733,222,Kolkata Knight Riders
2013,76,22602,681,263,Mumbai Indians
2014,60,18931,715,231,Kolkata Knight Riders
2015,59,18353,692,235,Mumbai Indians
2016,60,18862,639,248,Sunrisers Hyderabad
2017,59,18786,706,230,Mumbai Indians
2018,60,19901,872,245,Chennai Super Kings
2019,60,19434,786,232,Mumbai Indians
2021,120,38053,1423,235,Mumbai Indians
2022,74,24395,1062,222,Gujarat Titans
2023,74,25688,1124,257,Chennai Super Kings
2024,71,25971,1261,287,Kolkata Knight Riders
2025,74,26527,1302,286,Royal Challengers Bengaluru
2026,24,8567,424,250,
